sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
curve	n::曲线¦v::弄弯,¦n::成曲线	curve fitting::曲线拟合¦characteristic curve::特性曲线；特征曲线¦elliptic curve::椭圆曲线；橢圓曲線¦standard curve::标准曲线¦growth curve::生长曲线，增长曲线¦learning curve::学习曲线¦polarization curve::极化曲线¦distribution curve::分布曲线；分配曲线¦performance curve::性能曲线¦temperature curve::[医]温度曲线¦calibration curve::校正曲线，校准曲线¦yield curve::收率曲线¦response curve::响应曲线；频率曲线；灵敏度特性曲线¦demand curve::需求曲线¦phillips curve::菲利普斯曲线；菲利普曲线¦cooling curve::冷却曲线；步冷曲线¦transition curve::过渡曲线，介曲线；缓和曲线；转变曲线¦supply curve::供给曲线¦load curve::负载曲线¦frequency curve::频率曲线
catalogue	n&vt::目录；编目	illustrated catalogue::图解目录；图示型录¦card catalogue::卡片目录
abrasion	n::磨损，擦伤处	abrasion resistance::耐磨性；抗磨损性¦abrasion resistant::耐磨性，耐磨的¦resistance to abrasion::磨蚀阻力¦abrasion proof::[机]耐磨¦abrasion wear::磨损；磨耗¦abrasion test::磨耗试验¦abrasion performance::耐磨性，耐磨耗性¦surface abrasion::表面磨蚀，表面磨耗¦abrasion tester::磨耗试验机
agitation	n::摇动，焦虑	air agitation::充气搅动¦thermal agitation::热骚动；剧烈振荡
accountable	adj::for¦对::应付责任	accountable for::负责，对…应付责任
custom	n::习俗，惯例；光顾；海关	folk custom::n. 民间习俗¦custom duty::关税¦custom made::定做的，非现成的；定制品¦custom design::（用户）定制设计¦local custom::当地风俗；地方习惯¦social custom::社会风俗¦custom clearance::清关；外贸通关；进出口报关¦custom software::定制软件¦custom declaration::海关申报表¦custom colors::自定义颜色¦custom service::客户服务；海关服务；自定义服务¦custom synthesis::[生]委托合成¦custom code::自定义代码¦custom officer::报关员¦custom house::n. 海关¦custom office::海关办事处
sporadic	adj::偶而发生的	
towel	n::毛巾，手巾	bath towel::浴巾¦paper towel::纸巾¦sanitary towel::月经垫；卫生巾（等于sanitary napkin）¦towel rack::n. 毛巾架¦kitchen towel::厨房用纸；洗碗布¦towel gourd::丝瓜¦beach towel::沙滩毛巾；沙滩浴巾；海滩浴巾¦throw in the towel::认输¦terry towel::毛巾织物¦tea towel::擦拭杯盘用的抹布¦towel cloth::毛巾布¦hand towel::擦手巾¦towel factory::毛巾厂；羊毛衫厂¦face towel::毛巾；面巾；小方巾
knob	n::圆形把手，旋纽，圆形突出物	with knobs on::[俚语]尤其突出地，更加¦door knob::门把手；门把捏手¦adjusting knob::调节旋钮¦control knob::控制旋钮；调节炳
invariably	adv::不变地，永恒地	
plumb	v::铅锤，测锺¦v::探测，查明	plumb line::铅垂线（等于plumb rule）
triumph	n::凯旋；成功	in triumph::胜利地；洋洋得意地；耀武扬威地¦triumph over::击败；得胜；成功
forum	n::论坛	world economic forum::（瑞士达沃斯）世界经济论坛¦discussion forum::讨论区¦open forum::开放论坛；公开讨论会¦academic forum::学术讲座，学术论坛¦forum management::论坛管理¦asean regional forum::东盟地区论坛¦exchange forum::交流区；交流论坛
decompose	v::腐败；分解，腐烂	decompose into::分解为；他解为
confident	adj::确信的，有把握的	confident in::自信的；确信的¦confident of::确信，相信
liberal	adj::慷慨的，大方的，胸怀宽大的	liberal education::普通教育；文科教育¦liberal party::n. 自由党¦liberal democratic party::n. 自由民主党¦liberal democracy::自由民主；自由民主主义；自由民主制（一种政府形式，由人民选出的民意代表行使决策权力）¦liberal art::文科¦liberal arts education::博雅教育¦liberal economy::自由经济¦liberal democrat::自由民主党（成员）；自民党人¦college of liberal arts::文学院；人文学院¦liberal studies::人文学科¦liberal translation::n. 意译法¦liberal arts college::文理学院；文科大学
sway	v&n::摇摆；统治，支配	under the sway of::在…支配之下;在…影响下[亦作under someone's sway]¦hold sway::支配；统治
perplexity	n::(正式用语)困惑，窘困，令人困惑的事或物	
prospective	adj::预期的; 未来的	prospective study::前瞻研究；预期研究；远景调查¦prospective market::未来的市场¦prospective customer::潜在顾客¦prospective buyer::准买家¦prospective student::未来学生；欲申请的学生¦prospective earnings::预期收益¦prospective oil::石油储量
straightforward	adj::正直的，坦率的，老实的，简明易懂的	
marble	n::大理石，(游戏用的)玻璃弹子	white marble::汉白玉；白色大理石¦artificial marble::人造大理石¦marble arch::大理石拱门（有名的伦敦标志）¦marble tile::大理石饰面砖¦marble statue::n. 大理石塑像
registrar	n::登记员，记录员	registrar of companies::公司注册官；企业监管局
prototype	n::原型	prototype system::[计]原型系统¦prototype theory::原型理论；原型说¦prototype test::原型测试，样机试验¦prototype machine::样机；原型电机¦prototype development::原型开发；原型机研制¦prototype testing::样机试验；原型试验；实船实验¦prototype stage::原型阶段¦function prototype::函数原型
oust	v::驱赶，驱逐	
trespass	v::非法侵入；侵夺，侵占	trespass on::侵犯；非法侵入；妨碍；打扰
enzyme	n::酶	enzyme activity::酶活力¦immobilized enzyme::固定化酶¦enzyme engineering::[生]酶工程；[生]酶工程学¦enzyme preparation::[生]酶制剂¦enzyme immunoassay::[化]酶免疫分析法¦enzyme technology::酶工程学¦enzyme system::酶系统¦enzyme linked immunosorbent assay::酶联免疫吸附测定，酶标法¦restriction enzyme::限制性内切酶；限制酶¦digestive enzyme::消化酶¦enzyme reaction::酶反应¦antioxidant enzyme::抗氧化酶¦enzyme kinetics::酶动力学¦proteolytic enzyme::蛋白酶；蛋白水解酶；解朊酶¦hydrolytic enzyme::[化]水解酶；水解酵素
smuggle	v::走私，私运	
petition	n::祈求，请求；请愿，请求书	file a petition::提交请愿书
tract	n::地带；系统	respiratory tract::呼吸道¦urinary tract::[医]尿路；泌尿道¦digestive tract::消化道¦gastrointestinal tract::胃肠道；胃肠管¦upper respiratory tract::上呼吸道¦urinary tract infection::尿路感染；尿道发炎¦biliary tract::[医]胆道¦intestinal tract::[医]肠道¦alimentary tract::消化道¦upper respiratory tract infection::上呼吸道感染¦reproductive tract::[医]生殖系统；[生]生殖系¦genital tract::生殖道；产道¦vocal tract::声道¦corticospinal tract::[医]皮质脊髓束；皮层脊髓束
falter	v::蹒跚；声音发抖；支吾	
marine	adj::海的，海运的¦n::船舶；海运业	marine environment::海洋环境¦marine engineering::轮机工程；船舶工程¦marine insurance::海上保险¦marine diesel::船用柴油机¦marine industry::n. 海洋经济产业，水产业¦marine biology::海洋生物学¦marine transportation::海上运输¦marine diesel engine::船用柴油机¦marine traffic::海上交通¦marine pollution::海洋污染；海水污染¦marine science::海洋科学；海洋研究¦marine equipment::船用设备；水上设备；航海设备¦marine engine::船用发动机；船用引擎¦marine geology::海洋地质学¦marine mammal::海产哺乳动物¦marine sediments::海洋沈积物¦marine animal::海洋动物，海洋生物¦marine organism::海洋生物¦marine product::海产；船用产品；水产品¦marine transport::海上运输；海运
fraction	n::小部分；片断；分数	volume fraction::体积分率，体积分数；容积率¦a fraction of::一小部分；一部分；零点几¦mass fraction::n. 质量分数¦ejection fraction::射血分数；射出分率¦void fraction::空隙率；空隙分数；空隙组分¦mole fraction::摩尔分数；克分子分数¦molar fraction::n. 克分子分数；摩尔分数¦size fraction::粒级；颗粒组；粒度级份额¦weight fraction::重量百分率；重量分率；重量分数¦continued fraction::连分数，连分式¦decimal fraction::n. 小数；十进制小数¦fraction defective::[工业管理]不合格率；废品率；不良率¦to a fraction::[口语]完全地；地地道道地；百分之百地
multitude	n::大批，大群；众多	a multitude of::大批的，众多的
plunder	vt&vi::抢劫，掠夺	
activate	v::使活动，触发	
treatise	n::专题论文	
contemplate	v::仔细考虑；注视；打算；预计	
fibre	n::纤维，结构；质地，性格	carbon fibre::碳纤维¦glass fibre::玻璃纤维¦chemical fibre::化学纤维¦optical fibre::光学纤维；光导纤维¦dietary fibre::饮食纤维素¦polyester fibre::涤纶；[化]聚酯纤维¦synthetic fibre::合成纤维¦cotton fibre::棉纤维¦fibre channel::光纤通道，纤维管路¦fibre glass::n. 玻璃纤维¦glass fibre reinforced plastic::玻璃钢¦plant fibre::植物纤维¦natural fibre::天然纤维¦acrylic fibre::聚丙烯腈系纤维；丙烯酸纤维¦staple fibre::人造短纤维¦fibre optics::纤维光学（等于fiber optics）¦superfine fibre::超细纤维¦soybean protein fibre::大豆蛋白质纤维¦ceramic fibre::陶瓷纤维；耐火陶瓷纤维¦viscose fibre::粘胶纤维
reel	n::卷，轴；(胶片)一盘¦v::卷	reel in::卷；绕¦hose reel::软管卷盘¦reel off::流畅地讲；抽出；一口气说¦off the reel::不停地，立即；滔滔不绝地¦tape reel::带卷，带盘
misfortune	n::不幸，灾祸	
delicious	adj::美味的；可口的	delicious food::美味食品¦golden delicious::（美）金冠苹果
certainty	n::必然的事，必然，确实，肯定	with certainty::确定无疑地¦to a certainty::必定，肯定¦for a certainty::确实，确定无疑地¦certainty factor::可信度；确定性因素
expedient	adj::有用的，有利的¦n::紧急的办法，权宜之计	
throat	n::咽喉，嗓子	sore throat::咽喉痛¦have a sore throat::嗓子疼¦nozzle throat::喷嘴喉；喷嘴喉部¦throat radius::n. 喉道半径¦throat diameter::喉径；炉喉直径¦deep throat::内幕消息来源，内部检举人¦strep throat::链球菌性喉炎；脓毒性咽喉炎
disdain	vt&n::蔑视, 轻视 "	
inferior	n::地位(能力)低的人¦adj::劣质的,差的,下等的"	inferior quality::低质量；次质量¦inferior in::在…方面低劣¦inferior vena cava::下腔静脉¦inferior products::劣质产品¦inferior coal::劣质煤
magnanimous	adj::慷慨的，宽宏大量的	
abortion	n::流产；(计划)失败	induced abortion::n. [医]人工流产¦spontaneous abortion::自然流产；自发性流产¦threatened abortion::先兆流产¦habitual abortion::习惯性流产¦incomplete abortion::不全流产，不完全流产
commentary	n::集注；评论	commentary on::对……的评论¦running commentary::当场连续评述
plankton	n::浮游生物	
succession	n::连续；继续；一连串；继承权	in succession::接连地，连续地¦a succession of::一连串；一系列¦in quick succession::紧接地¦succession planning::接班人计划；继任计划¦vegetation succession::植被演替；植被接续¦ecological succession::生态演替；生态替续¦secondary succession::次级演替；次生演替系列
