internship	n::<美>实习医师	internship programs::实习计划；实习课程
banquet	n::宴会，盛宴；宴请，款待¦v::宴请，设宴款待	banquet hall::宴会厅；大餐厅¦banquet room::宴会厅；宴会室¦state banquet::国宴
banter	n::无恶意的玩笑	
baptism	n::洗礼；严峻考验	baptism of fire::n. 炮火的洗礼；[圣经]圣灵的恩赐；严峻考验
baptize	v::给…施浸礼；命名；使经受考验（等于baptise）¦n::(Baptize)人名；(法)巴蒂泽	
bar	n::条，棒；酒吧；障碍；法庭¦v::禁止；阻拦¦prep::除……外	at the bar::在酒吧；受到公开审问¦bar code::条形码；电脑条码¦steel bar::钢筋；棒材；型钢；条钢¦behind bars::在监狱服刑¦status bar::状态栏¦internet bar::网吧¦reinforcing bar::钢筋¦menu bar::n. [计]菜单栏¦bar none::没有例外地¦progress bar::进度条；进度指示器¦title bar::标题栏¦coffee bar::咖啡馆¦reinforcing steel bar::增强钢筋¦iron bar::铁条；铁锭¦snack bar::小吃店；快餐柜¦scroll bar::[计]滚动条¦chocolate bar::巧克力棒；巧克力条¦oxygen bar::氧气吧¦round bar::圆条；圆钢筋¦bar association::律师协会
barbarian	adj::野蛮的；未开化的¦n::野蛮人	
barbaric	adj::野蛮的，粗野的；原始的	
barbarous	adj::野蛮的；残暴的	
barbecue	n::烤肉；吃烤肉的野宴¦v::烧烤；烤肉	barbecue sauce::烤肉调味酱；在全烧时涂抹烤物用的沙司；烧烤鱼或肉时所用调味液¦korean barbecue::韩国烤肉
barber	v::为…理发；修整¦n::理发师	barber shop::理发店
bare	adj::空的；赤裸的，无遮蔽的¦v::露出，使赤裸¦n::(Bare)人名；(英)贝尔	bare of::vt. 几乎没有，缺乏¦lay bare::揭发，暴露；公开¦bare feet::赤脚；光脚；光着脚¦bare land::裸地；白地¦bare metal::裸金属¦bare minimum::绝对最小值¦go bare::[美国口语]¦bare rock::明礁，裸礁石；裸岩¦bare tube::光管；露天管路；裸管
barely	adv::仅仅，勉强；几乎不；公开地；贫乏地	
bargain	n::交易；便宜货；契约¦v::讨价还价；议价；(谈价钱后)卖	bargain with::讨价还价；与…讨价还价¦real bargain::合算的交易¦bargain for::指望；想以廉价买¦bargain price::廉价¦good bargain::赚钱买卖；便宜货¦into the bargain::再者¦bargain on::成交；商定；指望¦in the bargain::此外；外加¦no bargain::[美国口语]不易对付的人¦bargain hunting::逢低买进；趁低吸纳；买便宜货¦bargain over the price::讲价；讨价还价¦bargain basement::n. 廉价部¦bargain away::廉价脱手；议价出售¦bargain hunter::四处觅购便宜货的人；杀价购买股票的投机商¦hard bargain::艰苦的谈判；吃亏的买卖
barge	v::蹒跚；闯入¦n::驳船；游艇	barge in::v. 闯入；干涉¦barge into::闯入；与…相撞¦barge pole::n. 驳船撑竿
baritone	n::男中音；男中音歌手¦adj::男中音的	
barley	n::大麦	highland barley::青稞¦barley malt::大麦芽¦barley wine::大麦酒；高酒精啤酒¦pearl barley::珍珠麦，大麦粉粒
barn	n::谷仓；畜棚；车库；靶（核反应截面单位）¦vt::把…贮存入仓	barn door::挡光板；谷仓门
barometre	n::气压表；晴雨表	
baron	n::男爵；大亨；巨头	
baroque	adj::巴洛克式的；结构复杂的，形式怪样的¦n::巴洛克风格；巴洛克艺术	baroque music::巴洛克音乐
barracks	n::兵营，营房；简陋的房子；警察所（barrack的复数）¦v::使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）	
barrage	n::弹幕；阻塞；齐射式攻击；[水利] 拦河坝¦v::以密集炮火进攻	
barrel	v::把……装入桶内¦n::桶；枪管，炮管	in the barrel::[美国俚语、黑人用语]¦on the barrel::现付的；以现金¦gun barrel::枪筒；炮筒；油水分离罐¦pump barrel::泵壳，泵筒¦core barrel::钻管；心管¦barrel plating::滚镀；筒式电镀¦water barrel::防水层；提水筒¦pork barrel::放猪肉的桶；（为讨好或报答支持者的）政治拨款¦barrel theory::筒体理论¦machine barrel::机筒¦over a barrel::受人摆布；处于困境¦barrel distortion::负畸变；桶形畸变；桶形失真
barren	adj::贫瘠的；不生育的；无益的；沉闷无趣的；空洞的¦n::荒地	barren land::荒地；不毛之地¦barren field::贫瘠的荒野；无油气地区¦barren rock::无油气的岩层；空白岩石；无矿岩；废石
barricade	n::街垒；路障；争论之处¦v::设路障；阻碍	
barrier	n::障碍物，屏障；界线¦vt::把…关入栅栏	trade barrier::贸易壁垒¦language barrier::n. 语言障碍¦barrier reef::堡礁；堤礁¦thermal barrier::热障；保温层；绝热层¦great barrier reef::大堡礁¦blood-brain barrier::血脑屏障；血脑障壁¦tariff barrier::关税壁垒¦barrier property::防护性能；隔离性，不透气性¦sound barrier::声障（等于sonic barrier）¦barrier layer::阻挡层；势垒层¦potential barrier::势垒；位垒¦non-tariff barrier::非关税壁垒¦noise barrier::隔音屏障；隔声板¦blood brain barrier::血脑屏障¦moisture barrier::防潮层¦natural barrier::天然屏障；天然堤¦safety barrier::安全势垒，安全栅；停机拦截网¦fire barrier::阻火器；防火墙；防火煤柱；防火隔板¦protective barrier::遮壁；防护栏杆；防护栅障¦barrier system::屏障系统；柱式开采法；栅栏系统
barrister	n::律师；（加拿大）出庭律师（等于arrister-at-law）；（英）（有资格出席高等法庭并辩护的）专门律师	
barrow	n::搬运架，手推车；弃矿；古坟	wheel barrow::手推车；独轮推车
barter	v::进行易货贸易；[贸易] 作物物交换；讨价还价¦n::易货贸易；物物交换；实物交易	barter trade::易货贸易，实物交易¦barter away::[经]吃亏廉卖；拿…作交易
base	n::基础；底部；垒¦adj::卑鄙的；低劣的¦v::以…作基础	base on::基于，以……为根据；在……基础上¦production base::生产基地¦on base::[体]占垒¦base in::基于¦at base::本质上¦in base::【纹章学】在盾形纹章的下部¦knowledge base::知识库¦data base::数据库（等于data bank）；基本数据；储存之资料¦customer base::客户群；客户基础¦industrial base::工业基地¦base oil::基础油；原油¦base station::基站；基电台¦economic base::[经]经济基础¦base material::基础材质¦main base::主基地；控制点¦base area::底面积；底面¦base metal::[化]基底金属；碱金属¦base point::基准点；原点¦base plate::底盘，底座；[医]基板（牙）¦base class::基础类别，基本类
basement	n::地下室；地窖	basement membrane::基膜；基底膜；底膜¦basement rock::基岩；基底岩石¦crystalline basement::结晶基底¦basement wall::地下室墙；地库墙¦bargain basement::n. 廉价部¦basement floor::地下室层，地窖层面
bash	v::猛击，痛击；怒殴¦n::猛烈的一击，痛击	bash in::打坏
bashful	adj::害羞的，腼腆的¦n::(Bashful)人名；(英)巴什富尔	
basic	adj::基本的；基础的¦n::基础；要素	basic principle::基本原理¦basic theory::基本理论¦basic level::基本水平¦basic knowledge::基础知识，基本知识¦basic concept::基本概念；本义¦basic structure::基本结构¦basic education::基础教育¦basic research::基本研究¦basic information::基本信息；基本资料¦basic data::基本资料；原始数据¦basic function::基本功能；基本函数¦basic law::基本法律；一国或一邦的政府的基本组织的书面说明¦basic unit::基本单元¦basic ideas::n. 基本观念¦basic course::基础课，基础课程；基本训练¦basic framework::基本框架¦basic design::基本设计；原图¦basic approach::基本方法¦basic english::基础英语¦basic model::基本模型
basically	adv::主要地，基本上	
basics	n::基础；基本要素（basic的复数）	back to basics::n. 回复本原（尤指英国保守党提出的回复到理想生活的基本原则的主张）
basin	n::水池；流域；盆地；盆	river basin::流域¦tarim basin::塔里木盆地（位于中国西部）¦lake basin::湖盆；湖泊盆地¦drainage basin::（美）[地]（河流的）流域；流域盆地¦fault basin::断层盆地，断陷盆地¦wash basin::洗脸盆；洗涤盆¦stilling basin::消力池；静水池；沉水池；消速池¦coal basin::煤盆地；煤田；成煤盆地¦a basin of::一脸盆……¦ocean basin::洋盆；海洋盆地¦basin area::硫面积¦harbor basin::港池；港域¦aeration basin::曝气池；曝气塘；通气池¦settling basin::沉降池；沉淀池¦detention basin::蓄洪水库，滞洪区域；拦洪水库¦tidal basin::潮汐湖；潮汐盆地；潮船坞；蓄潮池（等于tidal dock）¦downfaulted basin::断陷盆地¦great basin::大盆地（美国西南部）¦sedimentation basin::澄清池；沉淀池¦structural basin::构造盆地
basis	n::基础；底部；主要成分；基本原则或原理	on the basis of::根据；基于…¦basis for::以…作基础；为…打基础¦theoretical basis::理论基础¦on basis of::以…为基础¦basis function::基函数¦on a regular basis::定期地；经常地¦on a daily basis::每天（指一起共事）¦design basis::设计基础¦on a basis of::以…为基础¦basis weight::纸张定量；基重¦accrual basis::权责发生制；应计基础¦cash basis::[经]现金基础；现金制¦dry basis::干基；折干计算¦basis point::[经]基点（等于0.01%）¦permanent basis::平时编制¦basis material::基体材料¦orthogonal basis::正交基底¦basis of accounting::会计基础¦collection basis::回收基准；[经]征收基础¦tax basis::课税基础；课税标准
bask	v::晒太阳；取暖；愉快或舒适¦n::(Bask)人名；(芬)巴斯克	
basket	n::篮子；（篮球比赛的）得分；一篮之量；篮筐¦vt::装入篮	picnic basket::野餐篮¦fruit basket::果篮，水果篮¦bamboo basket::竹篮；竹篓¦shopping basket::购物篮；提篮¦basket case::四肢不全的人；完全伤残者；完全没有希望的人¦hanging basket::挂篮；吊篮¦a basket of currencies::[经]笼统货币；一篮子货币¦laundry basket::洗衣篮¦wastepaper basket::废纸篓¦rattan basket::藤篮¦bread basket::产粮区；面包篮；谷物产品
basketball	n::篮球；篮球运动	play basketball::打篮球¦basketball player::n. 篮球选手；篮球球员¦basketball game::篮球比赛；篮球运动¦basketball court::篮球场¦national basketball association::国家篮球协会（简称NBA）¦basketball shoe::篮球鞋¦basketball field::篮球场
bass	n::鲈鱼；男低音；低音部；椴树¦adj::低音的	sea bass::n. （美）黑鲈¦double bass::[音]低音提琴¦bass drum::大鼓，低音鼓¦bass guitar::n. [音]低音吉他¦black bass::[鱼]黑鲈
bastard	adj::私生的¦n::私生子	
bastion	n::堡垒；棱堡	
bat	n::蝙蝠；球棒；球拍；批处理文件的扩展名¦v::用球棒击球；击球率达…	at bat::轮到击球¦baseball bat::棒球棒¦off the bat::马上；立刻¦bat around::详细讨论；到处游荡¦blind as a bat::[口语] 近乎全盲的；视力很差的，眼力不行的；鼠目寸光的；完全看不见东西的¦cricket bat::板球拍¦vampire bat::吸血蝙蝠；勾引并导致男人毁灭的女人；吮吸膏血者¦big brown bat::蝙蝠
batch	n::一批；一炉；一次所制之量¦v::分批处理	a batch of::一批¦first batch::首批¦batch production::批量生产；成批生产；间歇生产¦batch process::分批工艺，分批法；批流程¦batch number::批号；批数¦batch processing::成批处理；整批处理；分批加工¦batch distillation::分批蒸馏；间歇式蒸馏¦master batch::母料¦batch quantity::批量；批次数量¦batch file::[计]批处理文件¦batch culture::分批培养物¦production batch::生产批次¦batch test::批量试验¦batch annealing::分批退火，箱式炉退火¦batch control::批量控制，成批控制¦batch mode::批处理模式；成批处理方式¦batch manufacturing::批量生产¦batch size::批量大小¦batch operation::分批操作；成批操作¦batch job::[计]成批作业
