internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
drive	draɪv	draɪv	v::开车；猛击；飞跑¦n::驱动器；驾车；[心理] 内驱力，推进力；快车道	drive system::驱动系统，传动系统¦hard drive::（电脑）硬盘驱动器¦drive in::钉入；赶进；运球突破¦drive from::从…赶走…；从…开车来¦motor drive::电动机¦main drive::主传动；主驱动装置；肢动装置¦drive away::赶走；（把车）开走；离去¦drive mechanism::驱动机构；传动装置¦drive out::驱赶；开车外出¦disk drive::n. 磁盘驱动器¦drive a car::驾车；开小汽车¦drive on::可以开上去的；继续开车¦gear drive::齿轮传动¦drive up::抬高；开车赶到；迫使…上升¦drive circuit::驱动电路；激励电路¦electric drive::电力传动；电力驱动装置¦direct drive::直接驱动；直接传动¦drive shaft::驱动轴；主动轴¦drive control::驱动控制（等于horizontal drive control）¦hydraulic drive::液压传动；液动	the man driving the car::开车的男子¦Can you drive?::你会开车吗？¦So when did you learn to drive ?::那么你是什么时候学会开车的？¦Bye! Drive carefully!::再见！开车小心！¦He drives 12 miles to work.::他驾车12英里去上班。¦He drives (= has ) a BMW estate.::他开一辆宝马旅行车。
driver	'draɪvɚ	'draɪvə	n::驾驶员；驱动程序；起子；传动器	taxi driver::出租车司机；的士司机¦bus driver::公交车司机¦device driver::设备驱动程序¦truck driver::卡车司机¦motor driver::汽车司机；马达驱动器；电动驱动器¦driver circuit::驱动电路；激励电路¦pile driver::打桩机¦racing driver::赛车驾驶员¦cab driver::出租车司机¦screw driver::螺丝刀；螺钉起子；改锥¦driver ic::驱动晶片；驱动器集成电路；显示面板用驱动¦test driver::测试驱动程序；试车驾驶员¦printer driver::[计]打印机驱动程序¦cost driver::成本动因；作业成本发生因素（作业成本动因）¦lorry driver::卡车司机¦display driver::显示驱动¦backseat driver::指手划脚的人¦power driver::权力欲；机动打桩机；功率激励器¦graphics driver::显卡驱动¦slave driver::监督奴隶工作者；苛刻的上司	a taxi driver::出租车司机¦Do you think you’re a good driver?::你认为自己是个好司机吗？
drizzle	'drɪzl	'drɪz(ə)l	v::下毛毛雨¦n::细雨，毛毛雨		The rain isn’t too bad – it’s only drizzling.::雨下得不大——只是毛毛细雨而已。
drone	dron	drəʊn	n::雄蜂；嗡嗡的声音；懒惰者¦v::嗡嗡作声；混日子	target drone::目标靶机	An airplane droned overhead.::一架飞机在头顶上轰鸣。
drool	drul	druːl	v::流口水；胡说¦n::口水；梦话，胡说		The dog was drooling at the mouth.::那狗嘴上流着口水。
droop	drup	druːp	v::下垂；萎靡；凋萎¦n::下垂；消沉		The plant needs some water – it’s starting to droop.::这株植物需要浇些水——它开始打蔫了。¦His eyelids began to droop (= close, because he was sleepy ) .::他的眼皮开始耷拉下来了。¦Jessie drooped her head.::杰茜垂下头。¦...the droop of his shoulders.::…他肩膀的耷拉像。
drop	drɑp	drɒp	v::滴；使降低；使终止；随口漏出¦n::滴；落下；空投；微量；滴剂	drop in::v. 顺便走访¦a drop of something::一口酒；一杯酒¦pressure drop::压力下降，压强下降¦a drop of::一滴…¦at the drop of::一看到…(就…)，一听到…(就…)¦drop by::顺便拜访¦drop out::退出；退学；脱离¦drop by drop::adv. 一滴一滴地¦temperature drop::温差¦drop down::落下；顺着向下移动¦drag and drop::拖放¦drop off::减少；让……下车；睡着¦voltage drop::电压降落¦a drop of water::一滴水¦drop on::[口]训斥；[口]偶然发现；[口]突然访问；使某人感到吃惊¦sharp drop::暴跌¦drop out of::退学，失学；从……当中退出¦drop from::从…落下；从…除去¦drop into::不知不觉变得；顺便进入；偶然进入¦to the last drop::一滴不留	Temperatures can drop to freezing at night.::晚上气温能陡降到零度以下。
drought	draʊt	draʊt	n::干旱；缺乏	drought resistance::耐旱性，抗旱性¦drought relief::干旱救灾¦drought control::抗旱；防旱	...a country where drought and famines have killed up to two million people during the last eighteen years.::…过去18年来干旱和饥荒致死达两百万人的一个国家。
drown	draʊn	draʊn	v::淹没；把…淹死¦n::(Drown)人名；(英)德朗	drown out::淹没，压过	Many people drowned when the boat overturned.::船翻后许多人淹死了。¦Jane was drowned in the river.::简在那条河里溺水身亡。
drowse	draʊz	draʊz	v::打瞌睡；发呆¦n::瞌睡；假寐		I was drowsing in front of the television when you called.::我正坐在电视机前打瞌睡，恰好你打电话来。
drowsy	'draʊzi	'draʊzɪ	adj::昏昏欲睡的；沉寂的；催眠的		The drug can make you drowsy.::这种药会让人昏昏欲睡。
drug	drʌg	drʌg	n::药；毒品；麻醉药；滞销货¦v::使服麻醉药；使服毒品；掺麻醉药于	food and drug administration::食品和药物管理局¦drug resistance::抗药性¦on drugs::有吸毒嗜好的¦drug therapy::药物治疗；药物疗法¦drug abuse::药物滥用；毒品滥用¦drug reaction::药物反应¦drug trafficking::贩毒；毒品走私¦drug addiction::药物成瘾¦crude drug::天然药¦prescription drug::须医师处方才可买的药品¦drug design::药物设计¦drug effect::药物作用¦drug testing::药物检测；药物检查¦drug addict::吸毒者；滥用药物者¦drug metabolism::药物代谢，药物代谢酌¦drug store::药房¦drug test::药检；兴奋剂检测¦drug dealer::贩毒者；毒品走私犯¦drug trade::贩毒¦drug problem::毒品问题；吸毒问题	A lot of young people start taking drugs at school.::许多年轻人上学时开始吸毒。¦She always looks as though she’s on drugs (= taking drugs ) .::她总是看上去一副吸过毒的样子。¦Jimi Hendrix died of a drug overdose.::吉米·亨德里克斯死于吸毒过量。
druggist	'drʌgɪst	'drʌgɪst	n::药剂师；药商；（美）药房老板（兼营化妆品、文具、牙膏、漱口剂、香烟等杂货的）		
drugstore	'drʌɡstɔr	'drʌgstɔː	n::[药] 药房（常兼售化妆品、杂志等杂货）；（美）杂货店		
drum	drʌm	drʌm	v::击鼓；大力争取¦n::鼓；鼓声	drum up::招徕（顾客）；[口]竭力争取；纠集；鼓动¦drum tower::鼓楼¦drum for::v. 招徕；鼓吹¦brake drum::[汽车]制动鼓；刹车鼓¦boiler drum::锅炉汽包，锅筒；鼓筒式锅炉¦drum in::反复灌输；反复强调¦rotating drum::旋转鼓轮；转筒¦drum brake::鼓式制动器；鼓形闸¦steam drum::[化]上汽包；蒸汽锅筒¦steel drum::钢桶，铁桶；滚筒¦coke drum::[机]焦炭鼓；煤焦转鼓¦grooved drum::[机]绳沟滚筒；[机]缠索轮；[机]有槽鼓筒¦bass drum::大鼓，低音鼓¦drum filter::转鼓真空过滤机¦mixing drum::混合罐；搅拌滚筒；拌和鼓¦magnetic drum::[计]磁鼓¦iron drum::铁桶¦oil drum::油桶¦drum dryer::转鼓式干燥机¦drum diameter::搅拌鼓直径；制动鼓直径；滚筒直径；磁头鼓直径	I could hear the rain drumming against the windows.::我听到雨滴有节奏地打在窗上的声音。
drummer	'drʌmɚ	'drʌmə	n::鼓手；旅行推销员；跑街		He was a drummer in a rock band.::他是一支摇滚乐队的鼓手。
drumstick	'drʌmstik	'drʌmstɪk	n::鸡腿，家禽腿；鼓槌		
drunk	drʌŋk	drʌŋk	v::喝酒（drink的过去分词）¦adj::喝醉了的	get drunk::喝醉¦drunk driving::酒后开车	He must be either mad or drunk.::他要么是疯了，要么是喝醉了。¦Last night I got drunk and rolfed my dinner.::昨天晚上我喝醉了，把晚饭全吐出来了。
drunkard	'drʌŋkɚd	'drʌŋkəd	n::酒鬼，醉汉		Is the beauty a drunkard?::那美人是酒鬼吗？¦That drunkard flung out the empty bottle.::那个醉汉把空瓶扔了出来。¦"In 10 out of 10 documented cases of violent alligator–drunkard encounters, the reptile was not influenced by the fact that the victim was 'just kidding' or 'just having some fun, '" McCrory said.::“每10个记录在案的鳄鱼与醉汉暴力相向的案例中就有10个案列表明，尽管受害者'只是开个玩笑' 或者 '只是寻寻开心‘，鳄鱼的反应是不受这些友好本意影响的 ”麦克罗里说到。
drunken	'drʌŋkən	'drʌŋk(ə)n	adj::喝醉的；酒醉的；常醉的	drunken driving::酒后开车	He was a drunken bully.::他是个喝醉酒的恶霸。¦She was lying in a drunken stupor (= nearly unconscious from being drunk ) on the sidewalk.::她醉得神志不清，躺在人行道上。
dry	draɪ	draɪ	adj::干的；口渴的；枯燥无味的；禁酒的¦v::把…弄干¦n::干涸	in the dry::在干的地方；在不受雨淋的地方¦on the dry::[口语]在戒酒的¦run dry::不产奶¦dry skin::干性皮肤¦dry matter::干物质，固形物¦dry land::旱地¦dry gas::[化]干气（如含甲烷和乙烷的天然气）¦high and dry::搁浅；孤立无援；处于困境¦dry weight::干重¦dry cleaning::n. 干洗¦dry up::干涸；住口¦dry season::枯水季节；干旱期¦dry powder::干粉灭火剂；干燥粉¦dry process::干法；干式工艺¦dry air::干空气¦go dry::◎(乳牛)不产奶¦dry density::[物]干密度；[物]干容重¦dry method::干法¦dry type::干燥类型¦dry yeast::干酵母；酵母粉	I need to change into some dry clothes .::我要换上干衣服。¦Make sure that the surface is clean and dry before you start to paint.::油漆之前一定先要确保表面清洁干燥。¦You should store disks in a cool, dry place.::你应该把磁盘存放在阴凉干燥的地方。¦The path is dry as a bone (= very dry ) .::这条小道很干燥。¦Symptoms included frequent dryness in the mouth.::症状包括经常口干。
dryer	'draɪɚ	'draɪə	n::烘干机；[助剂] 干燥剂	hair dryer::电吹风，电风机；吹风机¦spray dryer::喷雾干燥器¦rotary dryer::旋转干燥器¦air dryer::空气干燥器¦clothes dryer::干衣机¦drum dryer::转鼓式干燥机¦hopper dryer::加料斗干燥器¦hand dryer::烘手机；干手机¦electric hair dryer::电吹风机	Unlike other clothes, you cannot use a dryer for fireproofing a cloth.::不像其他的衣服，你不能用烘干机把防火衣烘干。¦Oh, that sweet day when I moved into an apartment with a washer/dryer connection!::哦，当我搬进一座有洗衣机/烘干机连接着的公寓时，是多少甜蜜的一天。
dual	'dʊəl	'djuːəl	adj::双的；双重的¦n::双数；双数词	dual function::双重职能¦dual role::双重角色¦dual purpose::双重目的；双用途的¦dual nature::二重性，双重性¦dual system::双重系统，双系统；对偶系统¦dual channel::双通道，双渠¦dual nationality::n. 双重国籍¦dual personality::双重人格；双重性格¦dual mode::双重模式；两种方法¦dual control::双重控制¦dual citizenship::双重国籍¦dual beam::双光束；双声道¦dual space::[数]对偶空间¦dual track::双声道；双轨政策（北约部署新武器和限武谈判双轨进行的政策）¦dual form::对偶形式¦dual core::双核心	a dual system of education::二元[双元]教育体系
dub	dʌb	dʌb	v::配音；轻点；打击；授予称号¦n::笨蛋；鼓声		It was dubbed into Spanish for Mexican audiences.::它已为墨西哥观众配成西班牙语了。
dubious	'dubɪəs	'djuːbɪəs	adj::可疑的；暧昧的；无把握的；半信半疑的		The firm was accused of dubious accounting practices.::该公司被指控有不诚实的会计行为。¦Many critics regard this argument as dubious or, at best, misleading.::许多批评家认为这一论点靠不住，或者说至少有误导性。¦The assumption that growth in one country benefits the whole world is highly dubious .::一国的经济增长会对全世界有益的假设是很值得怀疑的。
duchess	'dʌtʃəs	'dʌtʃɪs; -es	n::公爵夫人；女公爵；雍容华贵的妇女；小老板娘¦vt::（澳）盛情款待；讨好¦vi::热情款待；讨好		the Duchess of York::约克公爵夫人
duchy	'dʌtʃi	'dʌtʃɪ	n::公国；公爵领地；直辖领地	grand duchy::n. 大公国	...the Duchy of Cornwall.::...康沃尔公爵的领地。
duck	dʌk	dʌk	n::鸭子；鸭肉；（英）宝贝儿；零分¦v::闪避；没入水中	roast duck::烤鸭，烧鸭¦peking duck::北京烤鸭；北京鸭¦beijing roast duck::北京烤鸭¦ducks in a row::一致(像鸭子似的一个接着一个)¦donald duck::唐老鸭¦beijing duck::北京烤鸭¦wild duck::n. 野鸭¦lame duck::n. 投机者；无用的人¦mandarin duck::[鸟]鸳鸯¦duck egg::鸭蛋¦duck meat::鸭肉¦duck soup::n. 易事；好欺侮的人¦sitting duck::n. 易被击中的目标；易被欺骗的对象¦dead duck::注定要完蛋的人；没有价值的人或事¦roast beijing duck::北京烤鸭¦muscovy duck::美洲家鸭¦salted duck egg::咸鸭蛋	roast duck with orange sauce::烤鸭配橘子酱
duckling	'dʌklɪŋ	'dʌklɪŋ	n::小鸭子	ugly duckling::丑小鸭；小时难看长大后变得才貌出众的人	So away went the duckling.::就这样这只小鸭离开了。¦The poor duckling was chased and harassed by all the ducklings because he was very ugly.::这只可怜的小鸭被所有的小鸭追逐和骚扰，因为他长得很丑。¦Oh, kill me!" said the poor duckling, and he waited for his death bowing his head towards the water.::可怜的小鸭说着朝水中低头，等待死亡的来临。 但他在清澈的水中看到什么样了呢？
duct	dʌkt	dʌkt	n::输送管，导管¦vt::用导管输送；以导管封住	bile duct::胆道，胆管¦air duct::风道；空气管；导风筒¦common bile duct::[解]胆总管¦duct system::管道系统；风管网路¦pancreatic duct::胰管；胰腺管；霍夫曼氏管¦cystic duct::胆囊管¦duct tape::布基胶带；管带¦biliary duct::胆管¦nasolacrimal duct::[解剖]鼻泪管¦hepatic duct::n. 肝胆管，肝管¦bus duct::母线槽；母线沟；总线护道¦lacrimal duct::泪管，泪小管；激管炎¦exhaust duct::排风管道¦ventilation duct::n. 通风管¦gas duct::烟道，气道¦ejaculatory duct::射精管¦collecting duct::n. 收集管；集尿管；集合管¦thoracic duct::胸导管¦flexible duct::柔性管道；可弯曲风道；软管接头¦ventilating duct::通风管道	a tear duct::泪管
