abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
rot	rɑt	rɒt	v&n::腐掉	root rot::烂根病，根腐病¦dry rot::n. 干枯；干腐¦rot away::烂掉；腐烂	Candy will rot your teeth.::吃糖会腐蚀牙齿。¦The trees were cut and left to rot .::树被砍伐后任其腐烂。
rotate	'rotet	rə(ʊ)'teɪt	v::旋转，轮流		The Earth rotates on its axis once every 24 hours.::地球每24小时绕地轴自转一周。¦Rotate the pan halfway through the baking time.::烘烤到一半时把盘子转一下。
rough	rʌf	rʌf	adj::不平的；粗鲁的，粗略的；刺耳的	in rough::作为草稿；在草稿纸上¦in the rough::未完成的；未加工的；大致上¦rough surface::粗糙表面¦rough and tumble::争夺；乱作一团¦rough machining::粗加工¦rough road::n. 起伏不平的路¦rough handling::粗率的处理¦rough and ready::简陋的；马虎的¦rough sea::大浪；狂浪；风大浪急的海面¦rough grinding::粗研磨，粗磨¦rough draft::草稿；底子¦rough estimate::粗略的估计，粗算¦rough terrain::不平地形，地形条件恶劣地区¦rough in::草拟；大致画出¦diamond in the rough::未经琢磨的钻石；外粗内秀的人¦cut up rough::[美国口语]大发脾气¦rough endoplasmic reticulum::内质网；糙面内质网，粗面型内质网¦rough and tough::◎粗鲁的，粗暴的，粗野的¦sleep rough::露宿（在公园过夜）；睡得难受¦rough paper::糙面纸	Her hands were rough from hard work.::她的双手因为干重活而变得很粗糙。¦the rough terrain at the base of the mountains::山脚下崎岖不平的地形¦We were bumping over the rough ground .::我们在崎岖的地面上颠簸而行。
rouse	raʊz	raʊz	vt&vi::唤醒，唤起；激励；激起	rouse oneself::奋起；振作精神	His banging roused the neighbours.::他重重的关门声把邻居都吵醒了。
routine	rʊ'tin	ruː'tiːn	n::例行公事，惯例，常规	routine maintenance::日常维修；例行维护¦routine work::日常工作；常规作业¦daily routine::日常生活；日常工作¦service routine::服务程序¦routine analysis::常规分析；例行分析¦routine examination::常规检查¦routine operation::例行操作¦routine test::定期试验；常规试验；例行程序试验；定期测验¦routine inspection::例行检查；常规检查；日常检验¦routine check::例行检查；程序校验¦routine testing::常规测试；例行检查¦working routine::工作程序；操作程序¦complete routine::完整程序¦executive routine::[计]执行例行程序；管理程序¦routine practice::例行实作	John’s departure had upset their daily routine .::约翰的离去打乱了他们的日常生活。¦Try to get into a routine (= develop a fixed order of doing things ) .::尽量养成一套习惯。¦my daily exercise routine::我每天的锻炼习惯¦Dressing is a task which we do every day as a matter of routine (= done regularly and not unusual ) .::穿衣打扮是我们每天必做的事情。
rub	rʌb	rʌb	n&v::摩擦	rub off::擦掉；使显得暗淡¦rub shoulders with::与……接触，并肩¦rub off on::感染；沾上；由于摩擦而在…上留下痕迹¦rub it in::[美俚]反复讲别人不爱听的事；（故意）触人痛处¦rub in::v. 用力擦入；反复讲¦rub up::vt. 擦亮；揉和；激起¦rub on::勉强度过¦rub out::擦掉，擦去¦rub elbows::交际，接触¦rub down::按摩，用力擦遍；擦掉¦rub up against::接近…¦rub against::v. 摩擦	You’ll have to rub harder if you want to get it clean.::如果你想把它弄干净，就得更使劲地擦。¦I hurriedly rubbed myself dry.::我赶紧把自己擦干。
ruffle	'rʌfl	'rʌf(ə)l	vt&vi::扰乱，打扰		He ruffled her hair affectionately.::他亲昵地拨弄她的头发。
ruinous	'ruɪnəs	'ruːɪnəs	adj::毁灭性的，破坏性的		a ruinous civil war::一场毁灭性的内战
section	'sɛkʃən	'sekʃ(ə)n	n::部分，零件；剖面，横断面，阶层	cross section::横截面¦in this section::在这部分；本节内容¦cesarean section::剖腹产术¦section steel::型钢¦section chief::部门主管¦thin section::[生]薄片；薄剖面；薄切片¦golden section::[数]黄金分割¦radar cross section::雷达截面，雷达目标有效截面¦control section::控制部分；控制段；控制节¦vertical section::垂直切面，纵断面¦caesarean section::[医]剖腹产；剖腹产术¦special section::n. 特殊型钢，异型钢材¦horizontal section::水平截面；水平切面；水平断面；水平剖面¦paraffin section::石蜡切片¦transverse section::横切面¦test section::测试区；试验管段¦rectangular section::矩形剖面¦circular section::圆截面¦heavy section::大型钢材¦section office::科室	The plane’s tail section was found in a cornfield.::飞机的尾部在玉米田里找到了。¦the smoking section (= where you can smoke )::吸烟区
sectional	'sɛkʃənl	'sekʃ(ə)n(ə)l	adj::各部分组成的，各阶层或不同部分的	cross sectional::分类排列，截面的¦sectional area::截面积¦cross sectional area::横截面积；横切面积；横切面面积¦sectional dimension::n. 截面尺寸¦sectional view::剖视图；截面图¦sectional material::型材	community groups seeking to protect sectional interests::致力保护群体利益的社区组织
sector	'sɛktɚ	'sektə	n::战区，防区；(工业等)部门，部分	private sector::私营部门；私营成分¦financial sector::财政部门¦public sector::国营部门经济；政府资助的企事业；社会经济的公有部份¦banking sector::银行业；银行部门¦government sector::政府部门¦service sector::服务部门，服务行业；服务业¦manufacturing sector::制造业；制造部门¦third sector::第三部门¦economic sector::经济部门；经济成份¦commercial sector::商业部门；商界¦boot sector::n. 引导扇区；启动磁区¦informal sector::非正式部门¦tertiary sector::第三产业（服务业）；第三产业部门¦sector gear::[机]扇形齿轮，扇形轮	...the nation's manufacturing sector.::…该国的制造部门。
secular	'sɛkjəlɚ	'sekjʊlə	adj::现世的，世俗的；非宗教的	secular variation::长期变化¦secular trend::长期趋势	secular education::世俗教育¦our modern secular society::我们的现代世俗社会
sediment	sɛdəmənt	'sedɪm(ə)nt	n::沉积物，沉淀	sediment transport::沉积物运移；泥沙流移；土砂流送¦sediment concentration::含沙量；沉积物浓度¦sediment yield::产沙量；泥砂生产量¦sediment deposition::沉积物沉降；淤积量¦bottom sediment::脚子；底沉积物¦sediment discharge::输沙量；输沙率；土砂流量；沉积物流量；沉淀物排放¦sediment supply::沉积物补给¦sediment load::[地]输沙量；推移质	a thick layer of sediment::一层厚厚的沉积物
seemingly	'simɪŋli	'siːmɪŋlɪ	adv::好像；似乎		A seemingly endless line of trucks waits in vain to load up.::看上去没有尽头的一排卡车徒劳地等着装货。
seep	sip	siːp	v::液体渗出	seep into::渗入；影响到；流入	Radioactive water had seeped into underground reservoirs.::放射性水已渗入了地下蓄水池。
segment	'sɛɡmənt	'segm(ə)nt	n::切片，部分；段，节	market segment::细分市场；市场区隔；分块市场¦line segment::n. 线段¦soft segment::软链段，柔性链段¦posterior segment::后段¦lower segment::下段；下节¦segment length::段长¦code segment::代码段；程序段，程序码区段¦short segment::短音段	Decorate with orange segments.::用几瓣橙子作点缀。
segregate	'sɛɡrɪɡet	'segrɪgeɪt	v::隔开；分离		A large detachment of police was used to segregate the two rival camps of protesters.::一大队分遣警察被派来隔离两群敌对的抗议者。
seismic	'saɪzmɪk	'saɪzmɪk	adj::地震的，地震强度的	seismic data::地震资料；地震数据¦seismic exploration::[工程]地震探查¦seismic response::地震响应¦seismic wave::地震波；海啸，海啸波¦seismic design::抗震设计；地震设计¦seismic reflection::地震波反射¦seismic prospecting::地震勘探；地震探查¦seismic activity::地震活动；地震活动性¦seismic survey::地震勘测¦seismic load::地震载荷；地震力¦seismic resistance::耐震性；抗震稳定性¦seismic intensity::[化]地震烈度¦seismic belt::地震带¦seismic record::地震记录¦seismic effect::地震效应，裂地效应¦seismic force::地震力¦seismic event::地震¦seismic sea wave::地震海啸；地震津波¦seismic zone::地震带；地震区¦seismic acceleration::震动加速度；地震加速度	increased seismic activity::越来越频繁的地震活动
semblance	'sɛmbləns	'sembləns	n::外貌，外表		At least a semblance of normality has been restored to parts of the country.::这个国家的部分地区至少在表面上已恢复正常。
sensible	'sɛnsəbl	'sensɪb(ə)l	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解	She seems very sensible.::她好像很明智。¦sensible advice::合理的建议¦It’s sensible to keep a note of your passport number.::把你的护照号码记下来是明智的。¦Moving house seemed like the sensible thing to do .::搬家似乎是明智的做法。
sensitive	'sɛnsətɪv	'sensɪtɪv	adj::敏感的；过敏的，容易生气的；仪器灵敏的	sensitive skin::敏感性皮肤¦highly sensitive::高灵敏度的¦pressure sensitive::压敏，压敏材料¦sensitive information::感测信息；高度机密信息¦pressure sensitive adhesive::压敏粘着剂；压感胶粘剂；压敏型黏合剂¦be sensitive to something::对...敏感的；对...同情理解的¦sensitive material::感光材料；敏感（灵敏）材料¦temperature sensitive::对温度变化灵敏的¦sensitive area::敏感地区，敏感区¦case sensitive::区分大小写¦light sensitive::光敏的¦sensitive period::感应期，敏感期¦environmentally sensitive::环境易受破坏的；环境警觉的¦sensitive element::敏感元件；灵敏部分；感受元件¦sensitive time::灵敏时间；感光时间¦sensitive film::感光软片，感光胶卷¦phase sensitive::相敏的¦price sensitive::价格敏感性¦sensitive paper::n. 感光纸	a very sensitive child::一个很敏感的小孩
sentiment	'sɛntɪmənt	'sentɪm(ə)nt	n::思想感情；情操；情绪	market sentiment::市场情绪；市场气氛；市场人心¦public sentiment::公众意见；公众的情绪¦moral sentiment::道德情操	Public sentiment rapidly turned anti-American.::公众的情绪迅速转向反美。¦He's found growing sentiment for military action.::他已经发现支持军事行动的情绪在日益增长。
septic	'sɛptɪk	'septɪk	adj::使腐败的	septic shock::感染性休克；败血性休克；脓毒性休克¦septic tank::化粪池	Put some anti-septic cream on it.::涂上一些防止败血症的药膏。
