adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
panic	'pænɪk	ˈpænɪk	n::恐慌	no panic::[美国俚语]不大高明；平凡¦panic disorder::惊恐性障碍，恐慌症¦in panic::惊慌的¦panic attack::惊恐发作（一种病症）¦financial panic::金融恐慌；经济恐慌¦panic button::应急开关；紧急保险按钮¦panic buying::抢购，恐慌性抢购	a feeling of sheer panic::惊恐万分的感觉¦She got into a panic when she couldn’t find the tickets.::她找不到票，慌了起来。¦The whole nation is in a state of panic following the attacks.::袭击过后整个国家一片恐慌。¦She suffers from terrible panic attacks .::她时常会出现一阵极度慌乱之感。
plug	plʌɡ	plʌg	n::塞子，插头	pull the plug::结束，终止业务¦plug in::插入；插上电源¦spark plug::n. 火花塞；带头人；中坚分子¦plug and play::即插即用¦plug into::[口]把（电器）插头插入；接通¦plug flow::活塞流；平推流¦power plug::电源插头；电力插头¦rubber plug::橡皮塞¦plug valve::旋塞阀，塞嘴¦plug up::阻塞；被阻塞¦plug wire::插线；火星塞高压线¦blanking plug::堵塞器¦plug gauge::n. 塞规；测孔规¦plug and socket::[电]插塞连座；接插件¦valve plug::阀塞¦electric plug::电插座；电火花塞¦hot plug::热型火花塞；热插拔；热点火塞；分隔式燃烧室下部带有通道的镶块¦glow plug::预热塞，电热塞；热线点火塞¦bottom plug::底塞，船底塞；下模塞¦plug socket::插座，插孔；电源插座，塞孔	the bath plug::浴缸塞子
precaution	prɪ'kɔʃən	prɪˈkɔ:ʃn	n::预防措施	take precautions against::vt. 采取措施预防¦precaution against::提防，防范；耐心¦safety precaution::安全预防措施	Fire precautions were neglected.::防火措施被忽视了。¦Vets took precautions to prevent the spread of the disease.::兽医们为防止疾病蔓延采取了预防措施。
prototype	'protə'taɪp	ˈprəʊtətaɪp	n::原型，雏形	prototype system::[计]原型系统¦prototype theory::原型理论；原型说¦prototype test::原型测试，样机试验¦prototype machine::样机；原型电机¦prototype development::原型开发；原型机研制¦prototype testing::样机试验；原型试验；实船实验¦prototype stage::原型阶段¦function prototype::函数原型	But how do you come up with the architecture for this evolutionary prototype?::但是你将如何为这个进化的原型提出系统的架构呢？¦But it may be an alternative when you have to finish a prototype in limited time.::但是，当您需要在有限的时间内完成一个原型时，这也许是一种选择。
reconcile	'rɛkənsaɪl	ˈrekənsaɪl	v::调和；和解	reconcile with::与…和解	The possibility remains that the two theories may be reconciled.::这两种理论仍是有可能协调的。
revenue	'rɛvənu	ˈrevənju:	n::收益	tax revenue::税收；赋税收入¦sales revenue::产品销售收入¦revenue and expenditure::收支¦inland revenue::税务局；税收；国内税收¦fiscal revenue::财政收入¦source of revenue::收入来源¦total revenue::总收入¦internal revenue::国内税收¦revenue sharing::收入分享¦marginal revenue::边际收入，边际收益¦revenue stream::收入来源；收益流¦revenue income::收益¦internal revenue service::（美国））国内收入署¦annual revenue::岁入；年度收入¦state revenue::财政收入¦revenue bond::n. 收益公债券¦net revenue::净收入；纯收入¦revenue recognition::收入确认¦revenue account::营业收入帐户；岁入帐；收益帐；进款帐¦average revenue::平均收益	advertising revenue::广告收入¦Strikes have cost £20 million in lost revenues .::罢工造成的收入损失达到2,000万英镑。
righteousness	'raɪtʃəsnɪs	'raɪtʃəsnəs	n::正义	sense of righteousness::正义感	Continue your love to those who know you, your righteousness to the upright in heart.::愿你常施慈爱给认识你的人。 常以公义待心里正直的人。¦And Moses admonishes the Israelites not to suppose that their inheritance of the land of Canaan is due to their own powers, or on account of any righteousness or virtue that they possess.::摩西警告以色列人不要想当然地认为,他们继承迦南之地是凭借了自己的力量，或者视之为他们所拥有的正义和美德。
sensible	'sɛnsəbl	ˈsensəbl	adj::合理的	sensible heat::显热；焓¦sensible of::察觉；了解	She seems very sensible.::她好像很明智。¦sensible advice::合理的建议¦It’s sensible to keep a note of your passport number.::把你的护照号码记下来是明智的。¦Moving house seemed like the sensible thing to do .::搬家似乎是明智的做法。
sin	sɪn	sɪn	n::罪恶	for one's sins::[戏谑语]该死¦original sin::原罪¦like sin::极强烈地；非常猛烈地；拼命地¦live in sin::姘居	She needed to confess her sins and ask for forgiveness.::她需要忏悔罪过，请求宽恕。¦He knew that he had committed a terrible sin .::他知道自己犯下了可怕的罪行。
solution	sə'luʃən	səˈlu:ʃn	n::解决	aqueous solution::水溶液¦optimal solution::最优解，最佳解¦in solution::在不断变化中；动摇不定；在溶解状态中¦numerical solution::数值解；数值解释；近似解¦analytical solution::分析解；分析解法¦acid solution::[化]酸溶液¦water solution::水溶液，水煎液¦analytic solution::解析解法，分析解¦standard solution::[化]标准溶液¦feasible solution::可行解释；适宜解¦solution polymerization::[化]溶液聚合¦optimum solution::最佳（优）解¦solution provider::方案供应商；解决方案提供者¦solid solution::固溶体¦general solution::通解；一般解¦approximate solution::[计]近似解¦exact solution::精确解¦alkaline solution::碱性溶液¦salt solution::盐溶液；盐水；食盐水¦solution concentration::溶液浓度	The best solution would be for them to separate.::最好的解决方法是他们分开。
stability	stə'bɪləti	stəˈbɪləti	n::稳定	thermal stability::热稳定性，耐热性；热稳性¦stability analysis::稳定性分析；稳度分析¦slope stability::坡面稳定性¦high stability::高稳定性¦voltage stability::电压稳定；电压稳定度¦heat stability::热稳定性¦chemical stability::化学稳定性¦economic stability::经济稳定¦financial stability::金融稳定，财政稳定¦dynamic stability::动态稳定性；动力稳定度¦storage stability::贮存稳定性；耐储存性¦transient stability::[电]暂态稳定度¦stability control::稳定控制¦dimensional stability::尺寸稳定性；形稳性¦asymptotic stability::渐近稳定性，渐近稳定度¦temperature stability::温度稳定性；耐热性¦relative stability::相对稳定度，相对稳定性；稳定比值¦global stability::全局稳定性；整体稳定性；大范围稳定¦structural stability::结构稳定性¦stability test::稳定性试验	a period of relative stability::相对稳定的一段时期
strengthen	'strɛŋθn	ˈstreŋθn	v::加强	strengthen environmental protection::加强环境保护¦strengthen the awareness::提高意识；强化意识¦strengthen unity::加强团结¦strengthen discipline::加强纪律	Our friendship has steadily strengthened over the years.::我们的友谊逐年加深。¦Steve’s opposition only strengthened her resolve to go ahead.::史蒂夫的反对反而坚定了她继续下去的决心。¦The company plans to strengthen its hand (= make itself more powerful ) in Europe by opening an office in Spain.::该公司计划在西班牙设立办事处，以此增强在欧洲的实力。
structure	'strʌktʃɚ	ˈstrʌktʃə(r)	n::结构	industrial structure::产业结构¦simple structure::简单结构；静定结构¦structure design::结构设计¦system structure::系统结构；体制结构¦economic structure::经济结构，经济体制¦steel structure::钢结构¦data structure::数据结构¦basic structure::基本结构¦capital structure::资本结构¦structure characteristics::结构特征¦molecular structure::[化]分子结构¦network structure::网络结构¦organizational structure::组织结构；组织架构¦concrete structure::混凝土结构；具体结构；混凝土建造物¦market structure::市场结构¦organization structure::[经]组织结构¦compact structure::密实结构；致密结构¦frame structure::框架结构；帧结构¦social structure::社会结构¦governance structure::治理结构；统治结构；规制结构	challenges to the existing power structure::对现有权力结构的挑战¦A new management structure has been introduced.::已推行一种新的管理结构。¦molecular structures::分子结构
supplier	sə'plaɪɚ	səˈplaɪə(r)	n::供应商	power supplier::电源供应器¦supplier quality engineer::供应商质量工程师	...one of the country's biggest food suppliers.::…该国最大的食品供应商之一。
theory	'θiəri	ˈθɪəri	n::理论	in theory::理论上¦basic theory::基本理论¦control theory::控制理论，控制论¦game theory::博弈论，对策论¦system theory::系统论¦management theory::管理理论¦set theory::集合论¦economic theory::经济理论；理论经济学¦deng xiaoping theory::邓小平理论¦fuzzy theory::模糊理论；含模理论¦general theory::一般理论；统一理论¦learning theory::学习理论；学习论¦information theory::信息论；情报理论¦graph theory::图论¦field theory::场论¦reliability theory::可靠性理论¦probability theory::概率论¦political theory::政治学理论¦optimization theory::最优化理论¦wave theory::[物]波动论；波动说	Freudian theory has had a great influence on psychology.::弗洛伊德理论对心理学产生过巨大影响。
torrent	'tɔrənt	ˈtɒrənt	n::急流，湍流		After five days of heavy rain the Telle river was a raging torrent (= a very violent torrent ) .::下了五天的大雨之后，泰勒河急流汹涌。
tough	tʌf	tʌf	adj::困难的	tough guy::[美口]硬汉¦tough it out::[美国口语]勇敢地承受；坚持到底¦get tough with::[口语]对…强硬起来¦tough cookie::非常坚强的人；不易动感情的人；自信者¦tough luck::坏运气；真不走运¦tough nut::大胆果断的人；暴躁的人¦tough love::严厉的爱（指为起到帮助作用而严厉地对待有问题的人）¦hang tough::坚持到底，顽强不屈	It was a tough race.::比赛打得很艰难。¦She’s had a tough life.::她的生活十分艰辛。¦The company admitted that it had been a tough year.::公司承认那是艰难的一年。¦Tough decisions will have to be made.::必须作出艰难的决定。¦The reporters were asking a lot of tough questions .::记者们问了很多难以回答的问题。¦(= a difficult decision ) , but we had to cancel the game because of the weather.::尽管是一个艰难的决定，但由于天气不好我们只得取消比赛。¦I find his books pretty tough going (= difficult to read ) .::我发现他的书很难读。¦Gage predicted the president’s proposal would be a tough sell (= something that is difficult to persuade someone about ) before Congress.::盖奇预言总统的提议在国会很难通过。
