textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
international	,ɪntɚ'næʃnəl	ɪntə'næʃ(ə)n(ə)l	adj::国际的	international trade::国际贸易¦international market::国际市场¦international airport::国际机场¦international business::国际商业；国际企业¦international standard::国际标准¦international community::国际社会；国际共同体¦international cooperation::国际合作¦international law::国际法；国际公法¦international society::国际社会¦international conference::国际会议¦international level::国际层面，国际水准¦international finance::国际金融¦international investment::国际投资¦international brand::国际品牌¦international monetary fund::国际货币基金组织¦international organization::国际组织与机构¦international situation::国际形势¦international convention::国际惯例；国际公约；国际协定¦international practice::国际惯例；国际实践¦international exchange::国际汇兑；国际电话局	the response of the international community::国际社会的反响¦the UN and other international organizations::联合国和其他国际组织
competitor	kəm'pɛtɪtɚ	kəm'petɪtə	n::竞争者；参赛者	competitor analysis::竞争者分析	Last year they sold twice as many computers as their competitors.::去年他们的计算机销量是竞争对手的两倍。¦Two of the competitors failed to turn up for the race.::两名赛跑选手未能上场比赛。
paint	pent	peɪnt	v::刷漆；作画	spray paint::喷漆¦latex paint::乳胶漆，乳胶涂料¦paint film::漆膜；漆膜皮¦oil paint::油漆；油画颜料；油性涂料¦lead paint::铅涂料；铅丹¦emulsion paint::乳胶漆；乳化漆¦paint can::油漆罐¦wall paint::墙漆¦wet paint::油漆未干¦paint brush::漆刷，涂漆刷，油漆刷¦paint coating::[化]涂漆¦coat of paint::漆皮；涂漆层¦anticorrosive paint::[化]防锈漆；防蚀涂料¦waterproof paint::防水涂料；防水漆¦paint spraying::喷漆¦white paint::白漆¦paint shop::油漆店，油漆行；油漆车间¦plastic paint::塑料涂料；塑料漆；塑性涂料¦paint factory::油漆厂；美容品厂¦paint remover::脱漆剂	The ceiling needs painting.::天花板需要粉刷了。¦brightly painted houses::粉刷得很亮丽的房屋¦The living room was painted in pastel shades of pink and blue.::起居室被漆成淡雅的粉色和蓝色。¦A white cross was painted on the door. ＃::门上画着白十字架。
its	ɪts	ɪts	adj::它的	as it were::可以说是，似乎就是；好像	He emphasized its importance to me.::他向我强调它的重要性。¦Salzburg is famous for its beautiful buildings.::萨尔茨堡以美丽的建筑闻名。¦The child read the story but did not comprehend its meaning.::这个孩子读了这篇故事，但不能理解它的意思。
form	fɔrm	fɔːm	n::类型；形式	in the form of::以…的形式¦form a::普惠制原产地证明书¦in form::在形式上¦a form of::一种…的形式¦application form::申请表，申请书¦form a complete set::配套¦common form::普通形式¦good form::有礼貌的；正确的姿势；良好的姿势¦take the form of::表现为……的形式¦on form::(运动员、赛马等)能发挥自己的水平，竞技状态良好；精力旺盛[亦作 on top form]¦art form::艺术形式（尤指文学，绘画，音乐，民歌等）¦registration form::登记表，注册表¦order form::定货单，订货单¦basic form::基本形式¦special form::特殊模壳；非凡模壳¦written form::书写形式¦artistic form::艺术形式¦report form::报告式；报表形式¦form of address::称呼语¦fill in the form::填写表格	a severe form of cancer::一种严重的癌症¦We oppose racism in all its forms.::我们反对各种形式的种族主义。
clay	kle	kleɪ	n::黏土；陶土	soft clay::软粘土；软黏土；软质粘土¦clay mineral::粘土矿物；硅酸盐¦red clay::红粘土¦clay content::粘粒含量；粘土含量¦clay brick::粘土砖；黏土砖¦clay soil::粘土，粘质土；粘质土壤；黏土土壤¦clay sculpture::泥塑¦silty clay::粉质粘土；粉砂粘土¦china clay::陶土，瓷土¦kaolin clay::高岭土¦clay core::粘土心墙¦clay pot::粘土埚¦porcelain clay::n. 瓷土¦white clay::白粘土；高岭土¦clay sand::粘土砂，粘质砂土¦pottery clay::[化]陶土¦clay court::红土网球场¦clay swelling::粘土膨胀¦clay model::粘土模型；泥塑模型¦marine clay::海成粘土；海滩土；海相粘土	...the heavy clay soils of Georgia.::…佐治亚州厚重的黏土的土壤。
balloon	bə'lun	bə'luːn	n::气球	air balloon::气球¦hot-air balloon::n. 热气球¦weather balloon::气象气球；探空气球¦balloon angioplasty::[外科学]气囊血管成形术；球囊成形术（等于percutaneous transluminal angioplasty）¦balloon pump::球囊泵；气囊泵¦balloon borne::球载反射器¦balloon flower::桔梗花¦like a lead balloon::毫无效果，毫无作用(意指如铅气球无法飞升)¦balloon catheter::气囊导管，气泡式导管	Can you help me blow up these balloons?::你帮我把这些气球吹起来好吗？¦He burst the balloon in my face.::他对着我的脸弄爆了气球。
scissors	'sɪzɚz	'sɪzəz	n::(pl) 剪刀		a pair of scissors::一把剪刀
lively	'laɪvli	'laɪvlɪ	adj::生气勃勃的；（色彩）鲜艳的	look lively::行动敏捷些；拿出劲头来¦blake lively::布莱克·莱弗利（美剧演员）	a lively child::精力充沛的孩子¦a lively combination of colours::鲜艳的颜色搭配
fairy	'fɛri	'feərɪ	n::仙子，小精灵	fairy tale::神话故事，童话；谎言¦fairy story::神话；谎言¦tooth fairy::牙仙子（是英国童话里的一个仙子）¦fairy land::n. 仙界；仙境	Do you believe in fairies?::你相信有小仙子吗？
heat	hit	hiːt	n::热；高温	heat transfer::热传递，传热¦heat treatment::热处理¦heat exchanger::热交换器¦heat pump::热泵，蒸汽泵¦heat exchange::热传导¦heat conduction::热传导¦heat resistance::[物]耐热性¦heat preservation::保温¦heat source::热源¦waste heat::余热；废热¦heat insulation::绝热¦heat transfer coefficient::[化]传热系数¦heat flux::热流，热通量¦high heat::[热力]高热量¦heat energy::热能¦heat pipe::热管；热导管¦heat up::加热¦heat recovery::热回收¦heat loss::热损失，热损耗¦heat balance::热平衡；热量衡算	Ice needs heat to melt.::冰需要热才能融化。¦Insulating the attic is a good way to reduce heat loss.::为阁楼安装隔热层是减少热量流失的好方法。¦The heat was making them tired. ＃::炎热的天气令他们疲倦。
polish	'pɑlɪʃ	'pɒlɪʃ	v::修改；润色；磨光，擦光	nail polish::指甲油，趾甲油¦shoe polish::鞋油¦polish off::草草完成；打败¦polish up::改善；润色；使完美；使醉¦high polish::高度磨光¦spit and polish::n. （陆、海军等）过分注意整洁和闪亮的仪容；对服装过分的擦洗¦wax polish::上光蜡；蜡光剂¦mirror polish::镜面抛光	Your essay is good, you just need to polish it a bit.::你的文章不错，只要稍加润色就可以了。¦I spent all afternoon polishing the silver. ＃::我整个下午都在擦拭银器。
complete	kəm'plit	kəm'pliːt	v::完成	complete set::整套；[计]成套机组；完全集¦a complete set of::一整套¦form a complete set::配套¦complete with::包括，连同¦complete system::完整系统；完备系¦complete product::完全积¦complete information::完整信息；完全情报¦complete success::完全成功；彻底的胜利¦complete equipment::成套设备；整套装置¦complete solution::完全解，通解；全面的方案¦complete work::全集¦complete design::完全设计；完全组织¦complete list::一览表；完整目录¦complete sentence::完整句¦complete failure::完全故障；完全失效¦complete set of equipment::成套设备¦complete description::完整的叙述，圆满的描述¦complete inspection::全部检查¦complete plant::成套设备；成套工厂¦complete combustion::[化]完全燃烧	Students must complete the course.::学生必须学完这门课程。¦The building took two years to complete.::这幢大楼花了两年时间才完工。
Korea	kə'rɪr	kə'rɪə	::朝鲜；韩国	south korea::南韩¦north korea::n. 朝鲜；北韩¦republic of korea::大韩民国；南韩¦korea republic::韩国¦bank of korea::韩国央行¦made in korea::韩国制造¦korea university::（韩国）高丽大学¦korea times::韩国时报¦korea rep::韩国	Korea lies (to the) west of Japan.::韩国在日本以西。
Switzerland	'swɪtsələnd	ˈswɪtsələnd	::瑞士		The River Rhine rises in Switzerland.::莱茵河发源于瑞士。¦The problem is Switzerland is a smaller country and you can not compare it with other leagues like Germany, French or Great Britain.::问题在于瑞士是一个较小的国家，你不能把它与像德国、法国或英国这样的大国的国家队相比。
San Francisco			::圣弗朗西斯科（旧金山，美国城市）		
Pam			::帕姆（女名）		
heel	hil	hiːl	n::鞋跟；足跟	achilles heel::致命要害；薄弱环节¦high heel::高跟鞋¦achilles' heel::唯一的致命的弱点¦at heel::adv. 接踵；尾随¦under the heel of::被…践踏；在…掌握中¦the heel of achilles::唯一的致命弱点¦wedge heel::坡跟鞋；楔形跟¦high heel shoes::高跟鞋¦stiletto heel::n. （女式高跟皮鞋的）细鞋跟	black boots with high heels::有高跟的黑靴子¦He had an operation on his heel last week.::他上星期脚后跟做了手术。
electricity	ɪ'lɛk'trɪsəti	,ɪlek'trɪsɪtɪ; ,el-; ,iːl-	n::电；电能	static electricity::n. 静电；静位觉¦generate electricity::发电¦electricity supply::供电；电力供应¦electricity generation::发电¦save electricity::节约用电¦produce electricity::发电¦electricity grid::电网，电力网格¦conduct electricity::导电¦electricity transmission::输电¦quantity of electricity::[电]电量¦generation of electricity::发电，电力生产¦electricity meter::电表；电量计；电量表¦current electricity::电流¦make electricity::发电¦positive electricity::正电；阳电¦negative electricity::阴电，负电	The farm was very isolated, but it had electricity.::那个农场非常偏远，但有电力供应。
scoop	skup	skuːp	n::勺；铲子	scoop out::舀出，挖出；接应¦scoop up::用铲子取；兜接，舀上来	...a small ice-cream scoop.::…一把小冰淇淋勺。
style	staɪl	staɪl	n::样式；款式	in style::流行；时髦地¦life style::生活方式，生活习惯；格调¦new style::n. 新历¦unique style::独特的风格¦out of style::过时的¦artistic style::艺术风格¦architectural style::建筑风格¦style of work::工作作风¦european style::欧式期权；欧洲式¦learning style::学习方式，学习类型；学习风格¦hair style::n. 发型¦in the style of::风格（文体）¦literary style::文言体；文艺语体¦western style::西方风格的；西方式；欧美风格¦modern style::现代风格¦style of writing::文风；文笔¦leadership style::领导风格；领袖风格¦fashion style::时样，服装风格；流行款式¦structural style::结构形式；构造型式¦japanese style::日本式	Car styles have changed radically in the past 20 years.::在过去 20 年里，汽车的款式彻底改变了。
