abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
manuscript	'mænjuskrɪpt	'mænjʊskrɪpt	n::手稿，原稿::a book or piece of writing before it is printed	original manuscript::原稿	Unfortunately, parts of the original manuscript have been lost.::遗憾的是，部分原始手稿丢失了。	n::[图情]手稿；原稿::scripture, autograph¦adj::[图情]手写的::handwritten						
mar	mɑr	mɑː	v::毁坏，弄糟::to make something less attractive or enjoyable		Their wedding was marred by the death of Jenny’s mother a week earlier.::一周之前珍妮母亲的过世使他们的婚礼蒙上了一层阴影。¦A frown marred his handsome features.::紧锁的眉头破坏了他俊美的面容。	vt::损毁；损伤；糟蹋；玷污::cloud, to injure¦n::污点；瑕疵::tainture, jaup	adj::marred:: 被损毁的¦v::marred:: 损毁，损伤（mar的过去式）					
marble	'mɑrbl	'mɑːb(ə)l	n::大理石，(游戏用的)玻璃弹子::a type of hard rock that becomes smooth when it is polished, and is used for making buildings,  statue s  etc	white marble::汉白玉；白色大理石¦artificial marble::人造大理石¦marble arch::大理石拱门（有名的伦敦标志）¦marble tile::大理石饰面砖¦marble statue::n. 大理石塑像	The columns were of white marble.::柱子是白色的大理石。¦a marble statue::大理石雕像	n::[岩]大理石；大理石制品；弹珠::mable, sarcophagus¦adj::[岩]大理石的；冷酷无情的::hard, coldhearted	adj::marbled:: 大理石的；有大理石般色彩纹理的¦n::marbleization:: 弄成大理石花纹；大理石状纹理¦n::marbling:: 大理石花纹；大理石纹加工法；猪、牛肉的细脂肪纹路¦v::marbled:: 把…弄上大理石花纹（marble的过去分词）¦v::marbling:: 把（书边等）弄上大理石花纹；把肉肥瘦均匀搭配好（marble的现在分词）¦vt::marbleize:: 作成大理石状；使有大理石花纹		 mar(看作March， 三月) + ble → 大理三月好风光哎 → 大理石			
march	mɑrtʃ	mɑːtʃ	n::行进，行军；进展::when soldiers walk with firm regular steps from one place to another	in march::在三月；在三月份¦long march::长征¦march in::进入；（运动员）进场¦march on::行进，向前进；向…推进；进入检阅场地¦march into::长驱直入¦march with::v. 交界¦on the march::进行中；行军中¦wedding march::n. 婚礼进行曲¦march hare::发情期的野兔¦quick march::[军]齐步行进¦march against::朝…进军；向…推进¦death march::向着死亡的行军¦funeral march::葬礼进行曲，送葬曲	The general led his forces on a long march southwards.::将军率领他的军队朝南长途行军。	n::行军，进军；进行曲；示威游行::demonstration, anabasis¦vi::进军；走过::step by, road to	n::marcher:: 行进者，游行者					
margin	'mɑrdʒən	'mɑːdʒɪn	n::(页边)空白；边缘；(时间，金钱)多余::the edge of something, especially an area of land or water	profit margin::[经]利润率¦continental margin::大陆边缘¦gross margin::[经]毛利¦wide margin::广泛的回旋余地；广泛的利于行事的权力¦water margin::水浒；水浒传（书名，中国历史上第一部用白话文写成的章回小说）¦safety margin::安全界限，安全裕度；安全系数¦narrow margin::薄利；没有多少余地¦margin trading::保证金交易（交存一定保证金不支付全部货款的交易）¦margin of safety::安全边际；安全系数¦phase margin::相补角；相位容限；允许相位失真¦margin of error::误差幅度；误差界限¦leaf margin::叶缘¦passive continental margin::不活动大陆边缘，被动大陆边缘¦margin account::保证金帐户；融资帐户¦left margin::左空白，左端¦interest margin::利差，利息差幅；利差幅度¦margin call::追加保证金；征收保证金的要求¦margin for error::误差容许量；误差限度¦margin of profit::利润率¦margin requirement::保证金要求；法定保证金	the western margin of southern Africa::非洲南部的西隅	n::[心理]边缘；[会计]利润，余裕；[印刷]页边的空白::profit, gain, brink, suburb	adj::marginal:: 边缘的；临界的；末端的¦adv::marginally:: 少量地；最低限度地；在栏外；在页边¦n::marginalization:: 边缘化；忽视；排斥¦n::marginality:: 边缘性¦vt::marginalize:: 排斥；忽视；使处于社会边缘；使脱离社会发展进程		 mar(是mark的变体， 记号、 符号) + in → 记号常标于书页空白处 → 页边空白			
marginal	'mɑrdʒɪnl	'mɑːdʒɪn(ə)l	adj::很少的，微量的::a marginal change or difference is too small to be important	marginal cost::边际成本（经济学专有名词）¦marginal utility::边际效用¦marginal propensity::边际倾向¦marginal propensity to consume::[经]边际消费倾向¦marginal analysis::边际分析¦marginal revenue::边际收入，边际收益¦marginal profit::边际利益；限界利润¦marginal price::[经]边际价格¦marginal tax::边际税率；边际税收¦marginal effect::边绝效应；缘界效应¦marginal product::边际产品，边际产量¦marginal sea::领海¦marginal benefit::边际收益；边际效益¦marginal zone::缘带；边缘区；[经]产油枯竭带¦marginal contribution::边际贡献¦marginal value::[经]边际价值；临界值¦marginal productivity::边际生产力¦marginal tax rate::边际税率¦diminishing marginal utility::边际效用递减率¦marginal cost pricing::[经]按边际成本定价	a marginal increase in the unemployment figures::失业人数的小幅增加¦a marginal improvement in profits::利润的小幅提高	adj::[数]边缘的；临界的；末端的::critical, terminal	adv::marginally:: 少量地；最低限度地；在栏外；在页边¦n::margin:: 边缘；利润，余裕；页边的空白¦n::marge:: 边缘（等于margin）¦n::marginalization:: 边缘化；忽视；排斥¦n::marginality:: 边缘性¦vt::margin:: 加边于；加旁注于¦vt::marginalize:: 排斥；忽视；使处于社会边缘；使脱离社会发展进程					
marine	mə'rin	mə'riːn	adj::海的，海运的::relating to the sea and the creatures that live there¦n::船舶；海运业::	marine environment::海洋环境¦marine engineering::轮机工程；船舶工程¦marine insurance::海上保险¦marine diesel::船用柴油机¦marine industry::n. 海洋经济产业，水产业¦marine biology::海洋生物学¦marine transportation::海上运输¦marine diesel engine::船用柴油机¦marine traffic::海上交通¦marine pollution::海洋污染；海水污染¦marine science::海洋科学；海洋研究¦marine equipment::船用设备；水上设备；航海设备¦marine engine::船用发动机；船用引擎¦marine geology::海洋地质学¦marine mammal::海产哺乳动物¦marine sediments::海洋沈积物¦marine animal::海洋动物，海洋生物¦marine organism::海洋生物¦marine product::海产；船用产品；水产品¦marine transport::海上运输；海运	the enormous variety of marine life::海洋生物繁多的种类¦the effects of oil pollution on marine mammals::石油污染对海洋哺乳动物的影响¦marine biology::海洋生物学	adj::船舶的；[海洋]海生的；海产的；航海的，海运的::nautical, sea-born¦n::海运业；舰队；水兵；（海军）士兵或军官::shipping industry, bluejacket	n::mariner:: 水手；船员					
marital	'mærɪtl	'mærɪt(ə)l	adj::婚姻的，丈夫的::relating to marriage	marital status::婚姻状况¦marital violence::婚姻暴力；婚后暴力	marital problems::婚姻问题¦the increase in marital breakdown::婚姻破裂的增多	adj::婚姻的；夫妇间的::married, matrimonial						
mingle	'mɪŋɡl	'mɪŋg(ə)l	v::使混合；交往::	mingle with::和…混合		vi::混合；交往::travel, company, sort, associate¦vt::使混合；使相混::composite, babelize	adj::mingling:: 混合的¦v::mingling:: 混合；交际；联合（mingle的ing形式）		 和single(a. 单一的)一起记			
minimal	'mɪnɪməl	'mɪnɪm(ə)l	adj::最小的；最低限度的::very small in degree or amount, especially the smallest degree or amount possible		The storm caused only minimal damage.::暴风雨只造成了轻微破坏。¦The cost to taxpayers would be minimal.::纳税人的支出将是最少的。¦This is a practical course, with only a minimal amount of theory.::这是实践课程，只有少量理论。	adj::最低的；最小限度的::lowest, bottommost	adj::minimum:: 最小的；最低的¦adj::minimized:: 最小化的；最小化；使达到最低限度的¦adj::minimalist:: 极简抽象派艺术的¦adj::minim:: 最小的；微小的¦adj::minimus:: 最年轻的；微小的¦adv::minimally:: 最低限度地；最低程度地¦n::minimum:: 最小值；最低限度；最小化；最小量¦n::minimalist:: 极简抽象派艺术家；最低限要求者；最低纲领主义者¦n::minimalism:: 极简派艺术；最低纲领；极保守行动¦n::minimization:: 减到最小限度；估到最低额；轻视¦n::minim:: 量滴（液量最小单位）；极小的东西；二分音符¦n::minimus:: 最小的东西；小指¦v::minimized:: 使减少；使缩到最小；极度轻视（minimize的过去分词形式）¦vi::minimize:: 最小化¦vt::minimize:: 使减到最少；小看，极度轻视		 min(小) + imal → 最小的			
minimum	'mɪnɪməm	'mɪnɪməm	"n::[pl~s,-ma]最少量；最低限度"::the smallest amount of something or number of things that is possible or necessary	a minimum of::至少；最少的¦minimum wage::最低工资¦minimum cost::最低成本¦local minimum::局部最小值¦minimum value::极小值，最小值¦minimum number::最小数¦minimum order::最低订购量¦minimum temperature::最低温度¦minimum distance::最小距离¦minimum price::最低价格¦minimum size::最小尺寸¦minimum requirements::最低要求¦minimum spanning tree::[计]最小生成树¦minimum standard::最低标准¦absolute minimum::[数]绝对极小值¦minimum error::最小误差¦minimum rate::起码运费；最低比率¦minimum charge::（客货）起码价费¦bare minimum::绝对最小值¦minimum order quantity::起订量；最小订量	At a minimum, we must recruit two new teachers.::我们最起码应该招两名新教师。	adj::[数]最小的；最低的::lowest, least, smallest	adj::minimal:: 最低的；最小限度的¦adj::minimized:: 最小化的；最小化；使达到最低限度的¦adv::minimally:: 最低限度地；最低程度地¦n::minimalism:: 极简派艺术；最低纲领；极保守行动¦n::minimization:: 减到最小限度；估到最低额；轻视¦v::minimized:: 使减少；使缩到最小；极度轻视（minimize的过去分词形式）¦vi::minimize:: 最小化¦vt::minimize:: 使减到最少；小看，极度轻视		 min(小) + imum → 最小的			
minister	'mɪnɪstɚ	'mɪnɪstə	v::照顾，给予帮助::	prime minister::首相，总理¦foreign minister::外交部长¦finance minister::财政部长¦vice minister::n. 副部长，副总理¦defense minister::国防部长¦deputy prime minister::副总理；副首相¦cabinet minister::n. 大臣；阁僚¦interior minister::内政部长¦minister of education::教育部长¦minister of state::国务大臣¦commerce minister::商业部长¦home minister::内政部长¦assistant minister::部长助理¦minister counselor::公使		n::部长；大臣；牧师::secretary, priest	adj::ministerial:: 部长的；内阁的；公使的；牧师的¦adj::ministrant:: 服务的；辅助的¦n::ministration:: 援助；服侍；职务¦n::ministrant:: 服侍者；协助者					
minority	maɪ'nɔrəti	maɪ'nɒrɪtɪ; mɪ-	n::未成年；少数；少数民族::a small group of people or things within a much larger group	ethnic minority::少数民族¦minority nationality::少数民族¦national minority::少数民族¦minority group::少数群体，少数群¦minority language::少数民族语言；少数人的语言；小语种¦minority shareholder::小股东；少数股东¦minority leader::少数党领袖¦minority carrier::[电子学]少数载流子¦ethnic minority group::少数人种群体¦minority share::少数股份	Gaelic is still spoken in Ireland by a tiny minority.::爱尔兰仍有极少数人在说盖尔语。	n::少数民族；少数派；未成年::ethnic minorities, nonage	adj::minor:: 未成年的；次要的；较小的；小调的；二流的¦n::minor:: 未成年人；小调；副修科目¦vi::minor:: 副修		 min(小) + or + ity(名词后缀) → 少数			
mint	mɪnt	mɪnt	n::薄荷；造币厂::a small plant with green leaves that have a fresh smell and taste and are used in cooking	mint condition::崭新的¦mint julep::（美）薄荷朱利酒¦in mint condition::adj. 崭新的；完全的¦mint tea::薄荷茶；薄荷锡兰茶	new potatoes sprinkled with chopped mint::撒上薄荷屑的嫩马铃薯¦roast lamb with mint sauce::配薄荷调味汁的烤羔羊肉¦Decorate with a sprig of mint .::用小薄荷枝装饰。	n::[植]薄荷；[金融]造币厂，巨款::menta, peppermint¦vt::铸造，铸币::coin	n::mintage:: 铸币材料；造币；刻印¦n::minter:: 铸币工人					
minus	'maɪnəs	'maɪnəs	a&n&prep::负的，负号；减::used to show that one number or quantity is being  subtract ed  from another	minus one::关闭一声部模式；零下一度	17 minus 5 is 12 (17–5=12).::17减5等于12。¦The payment will be refunded to you minus a small service charge.::这笔款项扣除一小笔服务费后将退还给你。	prep::[数]减，减去::less¦n::[数]负号，减号；不足；负数::shortage, short of, lack, insufficient¦adj::减的；负的::negative, nonpositive						
